data,time,deviceNum
289,745788,3
106,643215,1
927,643044,4
201,643116,4
345,643186,4
92,643258,4
219,643333,4
284,643405,4
16198,643490,4
13,643559,4
170,643642,4
1,643731,4
277,643831,4
527,643922,4
475,644043,4
997,644168,4
1334,644293,4
1447,644391,4
1546,644494,4
1420,644595,4
587,644687,4
1649,644786,4
1729,644881,4
2242,644983,4
782,645088,4
2750,645196,4
2104,645321,4
3144,645405,4
3077,645481,4
3032,645552,4
2533,645640,4
3448,645725,4
5349,645808,4
4139,645887,4
3603,645962,4
9536,646054,4
9868,646154,4
2138,649845,4
358,650016,1
1295,752589,3
2857,650110,1
8,650029,4
3918,650118,4
214,650207,4
1126,650279,4
6,650365,4
40,650461,4
1746,650551,4
68,650643,4
1086,650722,4
611,650833,4
