data,time,deviceNum
111,607029,1
32,606997,2
2694,709605,3
1,607107,1
7,607005,4
1408,607073,4
1354,607248,4
91,607340,4
2107,607434,4
2505,607532,4
3110,607661,4
3185,607748,4
4052,607843,4
4817,607926,4
39,610545,1
1055,713118,3
413,610613,1
2552,610696,1
501,610688,4
270,610756,4
139,610825,4
1,611069,2
36,610934,4
