data, time, deviceNum
0,1639080348.2645326,1
0,1639080348.264605,1
0,1639080348.2646575,1
0,1639080348.2647095,1
0,1639080348.2647603,1
0,1639080348.2648118,1
0,1639080348.264863,1
0,1639080348.264914,1
0,1639080348.2649648,1
0,1639080348.2650158,1
0,1639080348.2650669,1
0,1639080348.265118,1
0,1639080348.2651687,1
0,1639080348.2652197,1
0,1639080348.2652702,1
0,1639080348.265321,1
0,1639080348.2653716,1
0,1639080348.2654228,1
0,1639080348.2654738,1
0,1639080348.265525,1
0,1639080348.2655754,1
0,1639080348.2656264,1
0,1639080348.265677,1
0,1639080348.2657275,1
0,1639080348.2657788,1
0,1639080348.265829,1
0,1639080348.2658799,1
0,1639080348.2659307,1
0,1639080348.2659812,1
0,1639080348.2660322,1
0,1639080348.2660828,1
0,1639080348.2661335,1
0,1639080348.2661853,1
0,1639080348.2662354,1
0,1639080348.2662864,1
0,1639080348.266337,1
0,1639080348.2663875,1
0,1639080348.2664385,1
0,1639080348.2664886,1
0,1639080348.26654,1
0,1639080348.2665913,1
0,1639080348.266642,1
0,1639080348.2666929,1
0,1639080348.2667437,1
0,1639080348.2667944,1
0,1639080348.2668452,1
0,1639080348.2668967,1
0,1639080348.2669475,1
0,1639080348.2669983,1
0,1639080348.2670484,1
0,1639080348.2670994,1
0,1639080348.2671685,1
0,1639080348.2672205,1
0,1639080348.2672708,1
0,1639080348.267321,1
0,1639080348.2673714,1
0,1639080348.2674222,1
0,1639080348.267473,1
0,1639080348.267523,1
0,1639080348.2675714,1
0,1639080348.2676196,1
0,1639080348.2676694,1
0,1639080348.2677178,1
0,1639080348.2677662,1
0,1639080348.2678163,1
0,1639080348.2678957,1
0,1639080348.2679482,1
0,1639080348.2679987,1
0,1639080348.2680485,1
0,1639080348.2680964,1
0,1639080348.2681468,1
0,1639080348.268196,1
0,1639080348.268244,1
0,1639080348.2682943,1
0,1639080348.268344,1
0,1639080348.268394,1
0,1639080348.2684455,1
0,1639080348.2684958,1
0,1639080348.2685463,1
0,1639080348.2685966,1
0,1639080348.268647,1
0,1639080348.268697,1
0,1639080348.2687476,1
0,1639080348.268798,1
0,1639080348.2688484,1
0,1639080348.2688987,1
0,1639080348.268949,1
0,1639080348.2689993,1
0,1639080348.26905,1
0,1639080348.2691,1
0,1639080348.26915,1
0,1639080348.2691994,1
0,1639080348.2692513,1
0,1639080348.2693014,1
0,1639080348.269352,1
0,1639080348.269402,1
0,1639080348.2694526,1
0,1639080348.2695036,1
0,1639080348.269554,1
0,1639080348.2696033,1
0,1639080348.2696533,1
0,1639080348.2697036,1
0,1639080348.2697537,1
0,1639080348.2698042,1
0,1639080348.2698553,1
0,1639080348.2699058,1
0,1639080348.2699564,1
0,1639080348.2700071,1
0,1639080348.2700589,1
0,1639080348.2701092,1
0,1639080348.2701597,1
0,1639080348.2702103,1
0,1639080348.2702606,1
0,1639080348.2703106,1
0,1639080348.2703612,1
0,1639080348.2704113,1
0,1639080348.2704623,1
0,1639080348.270513,1
0,1639080348.2705624,1
0,1639080348.2706134,1
0,1639080348.2706642,1
0,1639080348.2707145,1
0,1639080348.2707648,1
0,1639080348.2708158,1
0,1639080348.2708666,1
0,1639080348.2709177,1
0,1639080348.2709677,1
0,1639080348.2710183,1
0,1639080348.2710752,1
0,1639080348.2711563,1
0,1639080348.2712076,1
0,1639080348.2712584,1
0,1639080348.271309,1
0,1639080348.271361,1
0,1639080348.2714114,1
0,1639080348.2714756,1
0,1639080348.2715268,1
0,1639080348.2715776,1
0,1639080348.2716656,1
0,1639080348.2717166,1
