data,time,deviceNum
782,395609,3
51,293005,2
197,293042,1
408,292867,4
5267,292976,4
18375,293101,4
13414,293210,4
1,293300,4
26,396088,3
1440,293370,4
169,396269,3
1153,293525,4
1996,293595,4
1436,293665,4
2499,293896,4
3462,293979,4
4169,294098,4
2276,294194,4
5304,294276,4
6808,294378,4
7154,294463,4
22925,294594,4
